,label_raw,text,label_ocean,key
0,Anxiety,Worry about things.,N,1
1,Friendliness,Make friends easily.,E,1
2,Imagination,Have a vivid imagination.,O,1
3,Trust,Trust others.,A,1
4,Self-Efficacy,Complete tasks successfully.,C,1
5,Anger,Get angry easily.,N,1
6,Gregariousness,Love large parties.,E,1
7,Artistic Interests,Believe in the importance of art.,O,1
8,Morality,Use others for my own ends.,A,-1
9,Orderliness,Like to tidy up.,C,1
10,Depression,Often feel blue.,N,1
11,Assertiveness,Take charge.,E,1
12,Emotionality,Experience my emotions intensely.,O,1
13,Altruism,Love to help others.,A,1
14,Dutifulness,Keep my promises.,C,1
15,Self-Consciousness,Find it difficult to approach others.,N,1
16,Activity Level,Am always busy.,E,1
17,Adventurousness,Prefer variety to routine.,O,1
18,Cooperation,Love a good fight.,A,-1
19,Achievement-Striving,Work hard.,C,1
20,Immoderation,Go on binges.,N,1
21,Excitement-Seeking,Love excitement.,E,1
22,Intellect,Love to read challenging material.,O,1
23,Modesty,Believe that I am better than others.,A,-1
24,Self-Discipline,Am always prepared.,C,1
25,Vulnerability,Panic easily.,N,1
26,Cheerfulness,Radiate joy.,E,1
27,Liberalism,Tend to vote for liberal political candidates.,O,1
28,Sympathy,Sympathize with the homeless.,A,1
29,Cautiousness,Jump into things without thinking.,C,-1
30,Anxiety,Fear for the worst.,N,1
31,Friendliness,Feel comfortable around people.,E,1
32,Imagination,Enjoy wild flights of fantasy.,O,1
33,Trust,Believe that others have good intentions.,A,1
34,Self-Efficacy,Excel in what I do.,C,1
35,Anger,Get irritated easily.,N,1
36,Gregariousness,Talk to a lot of different people at parties.,E,1
37,Artistic Interests,See beauty in things that others might not notice.,O,1
38,Morality,Cheat to get ahead.,A,-1
39,Orderliness,Often forget to put things back in their proper place.,C,-1
40,Depression,Dislike myself.,N,1
41,Assertiveness,Try to lead others.,E,1
42,Emotionality,Feel others' emotions.,O,1
43,Altruism,Am concerned about others.,A,1
44,Dutifulness,Tell the truth.,C,1
45,Self-Consciousness,Am afraid to draw attention to myself.,N,1
46,Activity Level,Am always on the go.,E,1
47,Adventurousness,Prefer to stick with things that I know.,O,-1
48,Cooperation,Yell at people.,A,-1
49,Achievement-Striving,Do more than what's expected of me.,C,1
50,Immoderation,Rarely overindulge.,N,-1
51,Excitement-Seeking,Seek adventure.,E,1
52,Intellect,Avoid philosophical discussions.,O,-1
53,Modesty,Think highly of myself.,A,-1
54,Self-Discipline,Carry out my plans.,C,1
55,Vulnerability,Become overwhelmed by events.,N,1
56,Cheerfulness,Have a lot of fun.,E,1
57,Liberalism,Believe that there is no absolute right or wrong.,O,1
58,Sympathy,Feel sympathy for those who are worse off than myself.,A,1
59,Cautiousness,Make rash decisions.,C,-1
60,Anxiety,Am afraid of many things.,N,1
61,Friendliness,Avoid contacts with others.,E,-1
62,Imagination,Love to daydream.,O,1
63,Trust,Trust what people say.,A,1
